SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
45.34,5.14,210.79,173.7,0,694.57,138.04,614,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,14
45.35,5.14,169.09,186.81,0,720.92,128.13,614,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,15
45.29,5.14,193.02,168.15,0,676.7,141.68,614,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,16
45.44,5.14,201.57,180.47,0,699.05,136.64,616,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,17
45.31,5.15,203.98,173.82,0,745.48,139.31,616,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,18
45.54,5.14,206.7,183.12,0,706.42,135.86,616,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,19
45.61,5.14,209.24,178.89,0,705.23,129.48,616,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,20
45.73,5.15,211.57,180.96,0,714.84,122.29,616,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,21
45.85,5.15,212.36,183.31,0,692.22,150.07,616,750.98,128,32.67,31.37,32.69,29.75,32.73,30.2,41.3694992065,1.9970558882,142.5854949951,0.2714,22
45.98,5.14,214.49,177.93,0,697.4,123.41,616,750.98,128,32.69,31.43,32.72,29.91,32.73,30.34,41.3694953918,1.9970533848,143.367401123,0.2399,22
46.04,5.14,171.47,172.65,0,718.97,142.45,616,750.98,128,32.69,31.43,32.72,29.91,32.73,30.34,41.3694953918,1.9970533848,143.367401123,0.2399,22.8
46.02,5.15,195.35,178.05,0,723.85,149.92,616,750.98,128,32.69,31.43,32.72,29.91,32.73,30.34,41.3694953918,1.9970533848,143.367401123,0.2399,23.6
46.19,5.15,203.38,182.07,0,651.75,136.78,609,750.98,128,32.69,31.43,32.72,29.91,32.73,30.34,41.3694953918,1.9970533848,143.367401123,0.2399,24.4
