H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.18,-0.27,0.2,27,2.36,0.28,-0.37,0.2,NaN,41.3701553345,1.996632576,157.653503418,1.111,0
0.28,-0.29,0.21,27,2.18,0.28,-0.37,0.2,NaN,41.3701553345,1.996632576,157.653503418,1.111,1
0.56,-0.25,0.2,27,2.27,0.28,-0.37,0.2,NaN,41.3701553345,1.996632576,157.653503418,1.111,2
0.56,-0.33,0.21,26,2.27,0.28,-0.37,0.2,NaN,41.3701553345,1.996632576,157.653503418,1.111,3
0.28,-0.27,0.2,27,2.27,0.28,-0.37,0.2,NaN,41.3701553345,1.996632576,157.653503418,1.111,4
0.56,-0.33,0.2,26,2.18,0.28,-0.37,0.2,NaN,41.3701553345,1.996632576,157.653503418,1.111,5
0.37,-0.37,0.19,26,2.18,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,5
0.18,-0.27,0.2,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,5.42857142857143
0.56,-0.33,0.2,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,5.85714285714286
0.47,-0.25,0.2,27,2.18,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,6.28571428571429
0.28,-0.29,0.19,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,6.71428571428571
0.47,-0.35,0.2,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,7.14285714285714
0.47,-0.23,0.2,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,7.57142857142857
0.28,-0.31,0.2,27,2.18,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,8
0.18,-0.29,0.2,27,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,8.42857142857143
0.18,-0.29,0.21,26,2.18,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,8.85714285714286
0.47,-0.29,0.21,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,9.28571428571428
0.37,-0.29,0.2,26,2.09,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,9.71428571428571
0.56,-0.27,0.21,27,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,10.1428571428571
0.56,-0.29,0.21,26,2.27,19.53,51.56,19.69,54.04,41.3701515198,1.9966219664,158.6018066406,0.999,10.5714285714286
0.37,-0.25,0.2,26,2.36,19.58,51.8,19.67,54.16,41.3701400757,1.9966150522,155.0807952881,0.8772,10.5714285714286
0.28,-0.21,0.2,28,2.36,19.58,51.8,19.67,54.16,41.3701400757,1.9966150522,155.0807952881,0.8772,11.2857142857143
0.28,-0.25,0.21,27,2.27,19.58,51.8,19.67,54.16,41.3701400757,1.9966150522,155.0807952881,0.8772,12
-0.21,-0.23,0.19,27,2.27,19.58,51.8,19.67,54.16,41.3701400757,1.9966150522,155.0807952881,0.8772,12.7142857142857
