TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
24.15,25.95,14.75,25.95,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,14
23.63,25.86,14.8,26.44,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,15
24.18,26.01,14.85,26.56,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,16
24.27,26.04,14.84,26.61,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,17
24.31,26.12,14.93,26.79,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,18
24.29,26.07,14.99,26.98,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,19
23.57,25.99,14.94,27.26,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,20
23.9,25.98,14.97,27.41,43.7,37.45,43.8,34.27,43.97,32.18,43.64,37.45,41.3695068359,1.9970589876,142.0738067627,0.3173,21
25.19,26.03,15.31,28.43,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,21
25.17,26.14,15.35,28.5,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,18.1111111111111
25.19,26.06,15.3,28.57,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,15.2222222222222
25.09,26.12,15.37,28.39,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,12.3333333333333
25.22,26.08,15.22,28.21,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,9.44444444444444
25.22,26.07,15.28,28.35,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,6.55555555555556
25.26,26.06,15.3,28.35,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,3.66666666666667
24.8,26.01,15.26,28.38,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,0.777777777777778
24.86,25.83,15.29,28.62,43.72,37.51,43.83,34.46,43.97,32.37,43.66,37.51,41.3694953918,1.9970458746,144.833404541,0.1963,-2.11111111111111
24.95,26.19,15.37,28.66,43.7,37.45,43.81,34.42,43.97,32.22,43.64,37.45,41.3695030212,1.9970121384,145.1143951416,0.2167,-2.11111111111111
24.9,25.95,15.34,28.78,43.7,37.45,43.81,34.42,43.97,32.22,43.64,37.45,41.3695030212,1.9970121384,145.1143951416,0.2167,8.63888888888889
24.91,26.17,15.4,29.01,43.7,37.45,43.81,34.42,43.97,32.22,43.64,37.45,41.3695030212,1.9970121384,145.1143951416,0.2167,19.3888888888889
