H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.37,-0.17,0.18,27,2.27,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,37
0.37,-0.23,0.18,25,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,38
0.18,-0.19,0.18,26,2.27,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,39
0.47,-0.17,0.19,25,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,40
0.47,-0.21,0.19,25,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,41
0.37,-0.19,0.18,25,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,42
0.18,-0.21,0.18,26,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,43
0.28,-0.17,0.18,25,2.09,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,44
0.28,-0.21,0.18,27,2.36,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,45
0.28,-0.21,0.18,25,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,46
0.18,-0.21,0.18,25,2.27,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,47
0.28,-0.25,0.18,26,2.27,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,48
0.18,-0.23,0.18,26,2.18,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,49
0.18,-0.23,0.18,27,2.27,25.03,40.85,24.81,45.96,41.3705978394,1.9958597422,143.8144989014,0.0821,50
0.28,-0.21,0.18,26,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,50
0.47,-0.19,0.18,26,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,46.4285714285714
0.37,-0.23,0.18,25,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,42.8571428571429
0.37,-0.19,0.18,25,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,39.2857142857143
0.37,-0.19,0.18,27,2.27,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,35.7142857142857
0.37,-0.17,0.19,25,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,32.1428571428571
0.56,-0.21,0.18,26,2.09,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,28.5714285714286
0.37,-0.21,0.18,25,2.09,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,25
0.28,-0.19,0.18,26,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,21.4285714285714
0.28,-0.21,0.18,25,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,17.8571428571429
0.28,-0.19,0.18,26,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,14.2857142857143
0.28,-0.19,0.18,25,2.09,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,10.7142857142857
0.37,-0.25,0.18,26,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,7.14285714285714
0.47,-0.17,0.18,26,2.18,25.06,40.9,24.84,45.98,41.3705940247,1.9958564043,144.1018066406,0.0866,3.57142857142857
0.28,-0.21,0.18,25,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,3.57142857142857
0.28,-0.21,0.18,25,2.09,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,8.23809523809524
0.47,-0.25,0.19,25,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,12.9047619047619
0.28,-0.23,0.18,26,2.27,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,17.5714285714286
0.18,-0.25,0.18,27,2.27,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,22.2380952380952
0.28,-0.17,0.18,25,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,26.9047619047619
0.47,-0.23,0.19,26,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,31.5714285714286
0.47,-0.19,0.18,26,2.27,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,36.2380952380952
0.28,-0.23,0.18,24,2.09,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,40.9047619047619
0.18,-0.23,0.18,26,2.09,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,45.5714285714286
0.28,-0.23,0.18,27,2.27,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,50.2380952380952
0.28,-0.21,0.18,25,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,54.9047619047619
0.28,-0.21,0.18,26,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,59.5714285714286
0.37,-0.17,0.19,26,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,64.2380952380952
0.28,-0.19,0.18,25,2.18,25.08,40.87,24.88,45.97,41.3705940247,1.9958578348,144.1701049805,0.0974,68.9047619047619
0.28,-0.17,0.18,26,2.09,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,68.9047619047619
0.37,-0.17,0.18,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,69.5297619047619
0.28,-0.21,0.18,24,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,70.1547619047619
0.18,-0.19,0.18,26,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,70.7797619047619
0.18,-0.19,0.18,26,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,71.4047619047619
0.47,-0.23,0.18,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,72.0297619047619
0.28,-0.23,0.18,27,2.27,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,72.6547619047619
0.08,-0.25,0.18,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,73.2797619047619
0.47,-0.23,0.18,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,73.9047619047619
0.47,-0.21,0.18,26,2.36,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,74.5297619047619
0.47,-0.21,0.19,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,75.1547619047619
0.56,-0.17,0.18,26,2.36,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,75.7797619047619
0.47,-0.23,0.18,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,76.4047619047619
0.56,-0.17,0.18,25,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,77.0297619047619
0.28,-0.21,0.18,26,2.27,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,77.6547619047619
0.18,-0.21,0.18,26,2.18,25.11,40.93,24.88,45.97,41.3705940247,1.9958586693,144.1791992188,0.0867,78.2797619047619
0.37,-0.23,0.18,25,2.18,25.06,40.9,24.89,45.97,41.3705940247,1.9958587885,144.2180938721,0.0783,78.2797619047619
0.28,-0.21,0.18,25,2.09,25.06,40.9,24.89,45.97,41.3705940247,1.9958587885,144.2180938721,0.0783,78.9940476190476
