TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
0.02,29.03,13.27,36.85,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,17
0.02,29.18,13.29,36.94,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,18
0.02,29.21,13.3,37.33,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,19
0.02,29.11,13.3,37.36,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,20
0.02,29.37,13.34,37.87,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,21
0.02,29.3,13.35,38.15,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,22
0.02,29.1,13.29,37.8,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,23
0.02,29.05,13.31,37.94,28.12,49.09,28.08,47.79,28.25,46.18,28.12,49.09,41.3695755005,1.9969770908,145.2478942871,0.0141,24
0.02,29.23,13.39,38.43,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,24
0.02,29.18,13.37,38.45,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,25.25
0.02,28.91,13.34,38.66,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,26.5
0.02,29.12,13.41,38.67,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,27.75
0.02,29.13,13.4,38.62,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,29
0.02,29.23,13.42,38.59,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,30.25
0.02,29.04,13.37,38.45,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,31.5
0.02,29.19,13.41,38.91,28.14,49.13,28.14,48.06,28.31,46.41,28.16,49.13,41.3695755005,1.99697721,145.2481994629,0.0141,32.75
0.02,29,13.38,38.55,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,32.75
0.02,28.93,13.39,38.75,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,34
0.02,29.06,13.39,38.69,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,35.25
0.02,29.28,13.47,39.06,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,36.5
0.02,29.1,13.44,39.01,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,37.75
0.02,29.19,13.42,38.79,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,39
0.02,29.12,13.42,38.92,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,40.25
0.02,29.37,13.53,38.98,28.17,48.69,28.17,47.23,28.36,45.47,28.23,48.69,41.3695755005,1.99697721,145.2281036377,0.0141,41.5
0.02,28.77,13.42,37.01,28.3,48.71,28.27,47.33,28.47,45.69,28.34,48.71,41.3695716858,1.9969713688,146.4716033936,0.1326,41.5
0.02,28.93,13.43,36.75,28.3,48.71,28.27,47.33,28.47,45.69,28.34,48.71,41.3695716858,1.9969713688,146.4716033936,0.1326,44
