Sent to board: Gas_read 1
Received by board: OK: auto gas read on, interval = 1s
Received by board: ERR: 334  60568 2048 0 0
Received by board: MES: gas_levels = -10436  20024   22869
Received by board: MES: gas_levels = -10503  19950   23073
Received by board: MES: gas_levels = -10451  20053   23073
Received by board: MES: gas_levels = -10579  20082   23073
Received by board: MES: gas_levels = -10655  20097   23073
Received by board: MES: gas_levels = -10768  20027   23073
Received by board: MES: gas_levels = -10840  19941   23073
Received by board: MES: gas_levels = -11147  19944   23073
Received by board: MES: gas_levels = -11337  19940   23073
Received by board: MES: gas_levels = -11248  19971   23073
Received by board: MES: gas_levels = -11150  20044   23073
Received by board: MES: gas_levels = -11121  20111   22869
Received by board: MES: gas_levels = -11160  20073   22869
Received by board: MES: gas_levels = -11098  20006   22869
Received by board: MES: gas_levels = -11287  20067   22869
Received by board: MES: gas_levels = -11562  20032   22869
Received by board: MES: gas_levels = -11405  19973   22869
Received by board: MES: gas_levels = -11437  20009   22869
Received by board: MES: gas_levels = -11432  20042   22869
Received by board: MES: gas_levels = -11399  20030   22869
Received by board: MES: gas_levels = -11394  19951   22869
Received by board: MES: gas_levels = -11162  19999   22869
Received by board: MES: gas_levels = -11284  20028   22869
Received by board: MES: gas_levels = -11219  19998   22869
Received by board: MES: gas_levels = -11025  20066   22869
Received by board: MES: gas_levels = -11062  20037   22869
Received by board: MES: gas_levels = -11033  19971   22869
Received by board: MES: gas_levels = -11037  20007   22869
Received by board: MES: gas_levels = -11011  19993   22869
Received by board: MES: gas_levels = -11170  20055   22869
Received by board: MES: gas_levels = -11039  20067   22869
Received by board: MES: gas_levels = -11212  20086   22869
Received by board: MES: gas_levels = -11313  19982   22869
Received by board: MES: gas_levels = -11281  20077   22869
Received by board: MES: gas_levels = -11256  20073   22869
Received by board: MES: gas_levels = -11281  19998   22869
Received by board: MES: gas_levels = -11303  19967   22869
Received by board: MES: gas_levels = -11405  19995   22869
Received by board: MES: gas_levels = -11480  19968   22869
Received by board: MES: gas_levels = -11461  20093   22869
Received by board: MES: gas_levels = -11013  20041   22869
Received by board: MES: gas_levels = -10937  20093   22869
Received by board: MES: gas_levels = -10708  20058   22869
Received by board: MES: gas_levels = -10769  20069   22869
Received by board: MES: gas_levels = -10657  20080   22869
Received by board: MES: gas_levels = -10799  19991   22869
Received by board: MES: gas_levels = -10884  19986   22869
Received by board: MES: gas_levels = -11107  20013   22869
Received by board: MES: gas_levels = -10785  20072   22869
Received by board: MES: gas_levels = -10868  20066   22869
Received by board: MES: gas_levels = -10845  19981   22869
Received by board: MES: gas_levels = -10868  19966   22869
Received by board: MES: gas_levels = -10628  20004   22869
Received by board: MES: gas_levels = -10717  19991   22869
Received by board: MES: gas_levels = -10463  20069   22869
Received by board: MES: gas_levels = -10358  20031   22869
Received by board: MES: gas_levels = -10435  20006   22869
Received by board: MES: gas_levels = -10532  20006   22869
Received by board: MES: gas_levels = -10427  20002   22869
Received by board: MES: gas_levels = -10535  20019   22869
Received by board: MES: gas_levels = -10524  19955   22869
Received by board: MES: gas_levels = -10622  20043   22869
Received by board: MES: gas_levels = -10479  20035   22869
Received by board: MES: gas_levels = -10469  19992   22869
Received by board: MES: gas_levels = -10489  19949   22869
Received by board: MES: gas_levels = -10317  20049   22869
Received by board: MES: gas_levels = -10694  19980   22869
Received by board: MES: gas_levels = -10466  19967   22869
Received by board: MES: gas_levels = -10442  20059   22869
Received by board: MES: gas_levels = -10256  19994   22869
Received by board: MES: gas_levels = -10378  19999   22869
Received by board: MES: gas_levels = -10164  20057   22869
Received by board: MES: gas_levels = -10483  20024   22869
Received by board: MES: gas_levels = -10297  19981   22869
Received by board: MES: gas_levels = -10357  20027   22869
Received by board: MES: gas_levels = -10379  19933   22869
Received by board: MES: gas_levels = -10300  19937   22869
Received by board: MES: gas_levels = -10420  19924   22869
Received by board: MES: gas_levels = -10370  20003   23039
Received by board: MES: gas_levels = -10302  20002   22869
Received by board: MES: gas_levels = -10237  19966   23039
Received by board: MES: gas_levels = -10122  20033   23039
